"CTYNAME","Pop","GrowthRate"
"Maricopa County",4410824,"15.3099"
"Pima County",1039073,"5.8493"
"Pinal County",447138,"17.8083"
"Yavapai County",231993,"9.9581"
"Yuma County",212128,"7.6038"
"Mohave County",209550,"4.6102"
"Coconino County",142854,"6.1181"
"Cochise County",126770,"-3.8324"
"Navajo County",110445,"2.5526"
"Apache County",71818,"-0.0195"
"Gila County",53889,"0.5936"
"Santa Cruz County",46511,"-1.9169"
"Graham County",38072,"2.4570"
"La Paz County",21098,"2.9321"
"Greenlee County",9483,"13.8142"